"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"R90","VISHAY_WSL2726","4875.984","5118.110","TopLayer","270"
"R93","R0402","14992.126","6157.480","TopLayer","180"
"R94","R0402","14992.126","6196.850","TopLayer","180"
"R95","R0402","12826.772","7027.559","TopLayer","270"
"R96","R0402","8133.858","3566.929","TopLayer","180"
"R103","R0402","12381.890","5409.449","TopLayer","180"
"R108","R0402","11027.559","6980.315","TopLayer","90"
"R109","R0402","11027.559","6897.638","TopLayer","270"
"R110","R0402","10826.772","6578.740","TopLayer","0"
"R111","R0402","10826.772","6539.370","TopLayer","0"
"R112","TO-247-2_w_Ohmite_heatsink","9502.500","7804.598","TopLayer","0"
"R113","R0402","10122.047","7649.606","TopLayer","0"
"R114","R0402","8183.071","8232.283","TopLayer","180"
"R115","R0402","8183.071","8074.803","TopLayer","180"
"R116","R0402","8021.654","7996.063","TopLayer","90"
"R117","R0402","8021.654","8153.543","TopLayer","90"
"R118","R0402","8183.071","8153.543","TopLayer","0"
"R119","R0402","8187.008","7996.063","TopLayer","0"
"R120","R0402","12299.213","5468.504","TopLayer","180"
"R121","R0402","12299.213","5622.047","TopLayer","180"
"R122","R0402","12381.890","5645.669","TopLayer","180"
"R123","R0402","12299.213","5574.803","TopLayer","180"
"R124","R0402","12381.890","5598.425","TopLayer","180"
"R125","R0402","12299.213","5527.559","TopLayer","180"
"R126","R0402","7318.898","3783.465","TopLayer","270"
"R127","R0402","7503.937","3783.465","TopLayer","270"
"R128","R0402","7429.134","3799.213","TopLayer","270"
"R129","R0402","7389.764","3799.213","TopLayer","270"
"R130","R0402","12381.890","5551.181","TopLayer","180"
"R131","R0402","12381.890","5503.937","TopLayer","180"
"R132","R0402","10397.638","8110.236","TopLayer","0"
"R133","R0402","12433.071","5484.252","TopLayer","270"
"R134","R0402","12066.929","6000.000","TopLayer","90"
"R146","R0402","14082.677","5259.842","TopLayer","0"
"R147","R0402","14161.417","5299.212","TopLayer","0"
"R148","R0402","14425.197","5559.055","TopLayer","270"
"R149","R0402","14161.417","5377.953","TopLayer","180"
"R150","R0402","14161.417","5496.063","TopLayer","180"
"R151","R0402","14267.717","5559.055","TopLayer","90"
"R152","R0402","14503.937","5559.055","TopLayer","90"
"R153","R0402","14161.417","5417.323","TopLayer","180"
"R154","R0402","14334.646","5137.795","TopLayer","270"
"R155","R0402","8393.701","7204.724","TopLayer","180"
"R156","R0402","8314.961","7204.724","TopLayer","180"
"R157","R0402","14161.417","5259.842","TopLayer","180"
"R158","R0402","14161.417","5220.472","TopLayer","180"
"R159","R0402","14346.457","5559.055","TopLayer","90"
"R160","VISHAY_WSL2726","8240.157","6021.654","TopLayer","0"
"R164","R0402","11944.882","6000.000","TopLayer","270"
"R165","R0402","11905.512","6000.000","TopLayer","270"
"R166","R0402","12338.583","5173.229","TopLayer","180"
"R167","R0402","12338.583","5984.252","TopLayer","180"
"R168","R0402","12381.890","5783.465","TopLayer","180"
"R169","R0402","12299.213","5807.087","TopLayer","180"
"R170","R0402","12381.890","5740.158","TopLayer","180"
"R171","R0402","12299.213","5759.843","TopLayer","180"
"R172","R0402","14161.417","5338.583","TopLayer","180"
"R173","R0402","11917.323","5110.236","TopLayer","90"
"R174","R0402","11956.693","5110.236","TopLayer","90"
"R175","R0402","12299.213","5236.221","TopLayer","180"
"R176","R0402","12374.016","5236.221","TopLayer","180"
"R177","R0402","14082.677","5338.583","TopLayer","180"
"R178","R0402","12114.173","5110.236","TopLayer","90"
"R179","R0402","12074.803","5110.236","TopLayer","90"
"R180","R0402","12035.433","5110.236","TopLayer","270"
"R181","R0402","12299.213","5669.292","TopLayer","0"
"R182","R0402","12381.890","5692.913","TopLayer","0"
"R183","R0402","14082.677","5220.472","TopLayer","180"
"R184","R0402","14082.677","5417.323","TopLayer","180"
"R185","R0402","14228.346","5559.055","TopLayer","270"
"R186","R0402","11594.488","6000.000","TopLayer","90"
"R187","R0402","14082.677","5377.953","TopLayer","180"
"R188","R0402","12299.213","5901.575","TopLayer","180"
"R189","R0402","11543.307","6000.000","TopLayer","90"
"R190","R0402","14385.827","5559.055","TopLayer","90"
"R191","R0402","14307.087","5559.055","TopLayer","90"
"R192","R0402","14503.937","5212.598","TopLayer","0"
"R193","R0402","5645.670","3948.819","TopLayer","180"
"R194","R0402","5645.670","3909.449","TopLayer","180"
"R195","R0402","5641.733","4161.417","TopLayer","180"
"R196","R0402","5787.403","3901.575","TopLayer","90"
"R197","R0402","5897.639","3901.575","TopLayer","90"
