"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"D17B","3SOT23","19787.402","2846.457","TopLayer","0"
"D3C","SOD123W","14949.795","3849.047","TopLayer","90"
"D4C","SMA","14520.662","3982.905","TopLayer","90"
"D7C","SMA","14646.646","3530.150","TopLayer","270"
"D3D","SOD123W","14319.874","3849.047","TopLayer","90"
"D4D","SMA","13890.740","3982.905","TopLayer","90"
"D7D","SMA","14016.725","3530.150","TopLayer","270"
"D3E","SOD123W","13689.953","3849.047","TopLayer","90"
"D4E","SMA","13260.819","3982.905","TopLayer","90"
"D7E","SMA","13386.803","3530.150","TopLayer","270"
"D3F","SOD123W","13060.031","3849.047","TopLayer","90"
"D4F","SMA","12630.898","3982.905","TopLayer","90"
"D7F","SMA","12756.882","3530.150","TopLayer","270"
"D3G","SOD123W","12430.110","3849.047","TopLayer","90"
"D4G","SMA","12000.977","3982.905","TopLayer","90"
"D7G","SMA","12126.961","3530.150","TopLayer","270"
"D3H","SOD123W","11800.189","3849.047","TopLayer","90"
"D4H","SMA","11371.055","3982.905","TopLayer","90"
"D7H","SMA","11497.039","3530.150","TopLayer","270"
"D3I","SOD123W","11170.268","3849.047","TopLayer","90"
"D4I","SMA","10741.134","3982.905","TopLayer","90"
"D7I","SMA","10867.118","3530.150","TopLayer","270"
"D3J","SOD123W","10540.346","3849.047","TopLayer","90"
"D4J","SMA","10111.213","3982.905","TopLayer","90"
"D7J","SMA","10237.197","3530.150","TopLayer","270"
"D3K","SOD123W","9634.835","3849.047","TopLayer","90"
"D4K","SMA","9205.701","3982.905","TopLayer","90"
"D7K","SMA","9331.685","3530.150","TopLayer","270"
"D3L","SOD123W","8768.693","3849.047","TopLayer","90"
"D4L","SMA","8339.559","3982.905","TopLayer","90"
"D7L","SMA","8465.543","3530.150","TopLayer","270"
"D3M","SOD123W","7863.181","3849.047","TopLayer","90"
"D4M","SMA","7434.047","3982.905","TopLayer","90"
"D7M","SMA","7560.032","3530.150","TopLayer","270"
"D3N","SOD123W","6957.669","3849.047","TopLayer","90"
"D4N","SMA","6528.535","3982.905","TopLayer","90"
"D7N","SMA","6654.520","3530.150","TopLayer","270"
"D3O","SOD123W","6052.158","3849.047","TopLayer","90"
"D4O","SMA","5623.024","3982.905","TopLayer","90"
"D7O","SMA","5749.008","3530.150","TopLayer","270"
"D3P","SOD123W","5146.646","3849.047","TopLayer","90"
"D4P","SMA","4717.512","3982.905","TopLayer","90"
"D7P","SMA","4843.496","3530.150","TopLayer","270"
"FB1","FB0402","19220.472","4330.709","TopLayer","0"
"FB2","FB0805","18755.906","2488.189","TopLayer","90"
"FB3","FB0402","18677.165","5165.354","TopLayer","90"
"H1","SMTSO-M2-10ET","18503.937","4854.331","TopLayer","0"
"H2","SMTSO-M2-10ET","18503.937","2803.150","TopLayer","0"
"H3","SMTSO-M2-10ET","17598.425","2803.150","TopLayer","0"
"H4","SMTSO-M2-10ET","17598.425","4854.331","TopLayer","0"
"H5","SMTSO-M2-10ET","16692.913","4854.331","TopLayer","0"
"H6","SMTSO-M2-10ET","16692.913","2803.150","TopLayer","0"
"H7","SMTSO-M2-10ET","15787.401","2803.150","TopLayer","0"
"H8","SMTSO-M2-10ET","15787.401","4854.331","TopLayer","0"
"H9","SMTSO-M2-10ET","14881.890","4854.331","TopLayer","0"
"H10","SMTSO-M2-10ET","14881.890","2803.150","TopLayer","0"
"H11","SMTSO-M2-10ET","13976.378","2803.150","TopLayer","0"
"H12","SMTSO-M2-10ET","13976.378","4854.331","TopLayer","0"
"H13","SMTSO-M2-10ET","13070.866","4854.331","TopLayer","0"
"H14","SMTSO-M2-10ET","13070.866","2803.150","TopLayer","0"
"H15","SMTSO-M2-10ET","12165.354","2803.150","TopLayer","0"
"H16","SMTSO-M2-10ET","12165.354","4854.331","TopLayer","0"
"H17","SMTSO-M2-10ET","11259.842","4854.331","TopLayer","0"
"H18","SMTSO-M2-10ET","11259.842","2803.150","TopLayer","0"
"H19","SMTSO-M2-10ET","10354.331","2803.150","TopLayer","0"
"H20","SMTSO-M2-10ET","10354.331","4854.331","TopLayer","0"
"H21","SMTSO-M2-10ET","9448.819","4854.331","TopLayer","0"
"H22","SMTSO-M2-10ET","9448.819","2803.150","TopLayer","0"
"H23","SMTSO-M2-10ET","8543.307","2803.150","TopLayer","0"
"H24","SMTSO-M2-10ET","8543.307","4854.331","TopLayer","0"
"H25","SMTSO-M2-10ET","7637.795","4854.331","TopLayer","0"
"H26","SMTSO-M2-10ET","7637.795","2803.150","TopLayer","0"
"H27","SMTSO-M2-10ET","6732.283","2803.150","TopLayer","0"
"H28","SMTSO-M2-10ET","6732.283","4854.331","TopLayer","0"
"H29","SMTSO-M2-10ET","5826.772","4854.331","TopLayer","0"
"H30","SMTSO-M2-10ET","5826.772","2803.150","TopLayer","0"
"H31","SMTSO-M2-10ET","4921.260","2803.150","TopLayer","0"
"H32","SMTSO-M2-10ET","4921.260","4854.331","TopLayer","0"
"J1","SAMTEC_FTSH-107-01-L-DV-K-A","20011.811","4110.236","TopLayer","90"
"J2","BELFUSE_0826-1L1T-57-F","19712.893","4760.000","TopLayer","270"
"J11A","CONN_USBC_TYPE-C-31-M-12","20099.410","3566.929","TopLayer","90"
"J11B","CONN_USBC_TYPE-C-31-M-12","20099.410","2779.528","TopLayer","90"
"L1","SMD-4.1x4.1x2.0","19204.724","3188.976","TopLayer","90"
"L2","SMD-4.1x4.1x2.0","18897.638","2755.905","TopLayer","270"
"L3","SMD-4.1x4.1x2.0","19204.724","2755.905","TopLayer","270"
"Q3","DIODES_POWERDI3333-8","19846.457","2606.299","TopLayer","180"
"Q1A","3SOT23","16035.433","4007.874","TopLayer","270"
"Q1B","3SOT23","15405.512","4007.874","TopLayer","270"
"Q1C","3SOT23","14775.591","4007.874","TopLayer","270"
"Q1D","3SOT23","14145.669","4007.874","TopLayer","270"
"Q1E","3SOT23","13515.748","4007.874","TopLayer","270"
"Q1F","3SOT23","12885.827","4007.874","TopLayer","270"
"Q1G","3SOT23","12255.906","4007.874","TopLayer","270"
"Q1H","3SOT23","11625.984","4007.874","TopLayer","270"
"Q1I","3SOT23","10996.063","4007.874","TopLayer","270"
"Q1J","3SOT23","10366.142","4007.874","TopLayer","270"
"Q1K","3SOT23","9460.630","4007.874","TopLayer","270"
"Q1L","3SOT23","8594.488","4007.874","TopLayer","270"
"Q1M","3SOT23","7688.976","4007.874","TopLayer","270"
"Q1N","3SOT23","6783.465","4007.874","TopLayer","270"
"Q1O","3SOT23","5877.953","4007.874","TopLayer","270"
"Q1P","3SOT23","4972.441","4007.874","TopLayer","270"
"R1","R0402","18515.748","5248.032","TopLayer","270"
"R2","R0402","18476.378","5248.032","TopLayer","270"
"R3","R0402","18988.189","4425.197","TopLayer","270"
"R4","R0402","19740.157","5299.213","TopLayer","270"
"R5","R0402","19503.937","5299.213","TopLayer","270"
"R6","R0402","19814.961","4110.236","TopLayer","0"
"R7","R0402","18437.008","5248.032","TopLayer","270"
"R9","R0402","19673.228","2570.866","TopLayer","90"
"R11","R0402","19137.795","4311.024","TopLayer","90"
"R20","R0805","20200.787","3976.378","TopLayer","270"
"R22","R0402","19814.961","4007.874","TopLayer","0"
"R24","R0402","18732.284","4425.197","TopLayer","270"
"R26","R0402","19814.961","4059.055","TopLayer","0"
"R30","R0402","19814.961","4251.968","TopLayer","180"
"R32","R0402","19814.961","4212.598","TopLayer","0"
"R35","R0402","18944.882","3586.614","TopLayer","90"
"R36","R0402","18905.512","3586.614","TopLayer","90"
"R38","R0402","18543.307","4425.197","TopLayer","270"
"R39","R0402","18866.142","3586.614","TopLayer","270"
"R40","R0402","18413.386","4303.150","TopLayer","270"
"R41","R0402","18366.142","4303.150","TopLayer","270"
"R42","R0402","19114.173","4000.000","TopLayer","0"
"R48","R0402","19338.583","2988.189","TopLayer","0"
"R49","R0805","18661.417","2519.685","TopLayer","0"
"R50","R0402","19338.583","2948.818","TopLayer","180"
"R51","R0402","19338.583","3066.929","TopLayer","180"
"R52","R0402","19011.811","4326.772","TopLayer","90"
"R54","R0402","18984.252","3586.614","TopLayer","90"
"R56","R0402","19338.583","3027.559","TopLayer","180"
"R57","R0402","18799.213","3086.614","TopLayer","180"
"R58","R0402","18799.213","3047.244","TopLayer","0"
"R59","R0402","18799.213","3007.874","TopLayer","180"
"R60","R0402","19055.118","2629.921","TopLayer","90"
"R61","R0402","18799.213","2929.134","TopLayer","0"
"R62","R0402","18799.213","2968.504","TopLayer","0"
"R63","R0402","19338.583","2909.448","TopLayer","0"
"R64","R0402","19338.583","2830.708","TopLayer","180"
"R65","R0402","19338.583","2870.078","TopLayer","180"
"R76","R0402","19732.284","2527.559","TopLayer","0"
"R77","R0402","19716.535","2728.347","TopLayer","0"
"R78","R0402","19468.504","2598.425","TopLayer","90"
"R79","R0402","19535.433","2480.315","TopLayer","90"
"R80","R0402","19574.803","2480.315","TopLayer","90"
"R81","R0402","18763.780","4901.575","TopLayer","270"
"R82","R0402","18818.898","4822.835","TopLayer","270"
"R83","R0402","18858.268","4822.835","TopLayer","90"
"R84","R0402","18677.165","5244.095","TopLayer","270"
"R85","R0402","18874.016","5165.354","TopLayer","270"
"R86","R0402","19078.740","5090.551","TopLayer","0"
"R87","R0402","19078.740","4972.441","TopLayer","180"
"R88","R0402","19078.740","5051.181","TopLayer","180"
"R89","R0402","19078.740","4933.071","TopLayer","180"
"R90","R0402","19078.740","5011.811","TopLayer","180"
"R91","R0402","18724.409","4901.575","TopLayer","270"
"R92","R0402","18708.661","5047.244","TopLayer","180"
"R93","R0402","18708.661","5086.614","TopLayer","180"
"R95","R0402","19074.803","5342.520","TopLayer","0"
"R96","R0402","19074.803","5381.890","TopLayer","180"
"R97","R0402","19074.803","5251.968","TopLayer","180"
"R98","R0402","19074.803","5212.598","TopLayer","0"
"R8A","R0603","16074.803","4122.047","TopLayer","90"
"R10A","R1206","16209.638","4112.827","TopLayer","90"
"R12A","R0402","19889.764","3759.843","TopLayer","180"
"R13A","R0402","19889.764","3507.874","TopLayer","180"
"R14A","R0603","15862.205","4263.779","TopLayer","90"
"R66A","R1206","15937.008","4125.984","TopLayer","0"
"R67A","R0402","16103.339","4408.102","TopLayer","180"
"R68A","R0402","16016.724","4408.102","TopLayer","180"
"R69A","R0402","17220.472","3696.851","TopLayer","0"
